state,total_votes,rep_votes,rep_percent,rep_ev,dem_votes,dem_percent,dem_ev,other_votes,other_percent,other_ev,socialist_vote,socialist_percent,socialist_ev
Kansas,896166,616302,68.8,8,273296.0,30.5,0,,,,,,
Kentucky,993148,495029,49.8,0,495729.0,49.9,10,,,,,,
Louisiana,651952,306925,47.1,0,345027.0,52.9,10,,,,,,
Maine,351786,232353,66.0,5,118806.0,33.8,0,,,,,,
Maryland,902074,499424,55.4,9,395337.0,43.8,0,,,,,,
Massachusetts,2383398,1292325,54.2,16,1083525.0,45.5,0,,,,,,
Michigan,2798592,1551529,55.4,20,1230657.0,44.0,0,,,,,,
Minnesota,1379483,763211,55.3,11,608458.0,44.1,0,,,,,,
Mississippi,285532,112966,39.6,0,172566.0,60.4,8,,,,,,
Missouri,1892062,959429,50.7,13,929830.0,49.1,0,,,,,,
Montana,265037,157394,59.4,4,106213.0,40.1,0,,,,,,
Nebraska,609660,421603,69.2,6,188057.0,30.8,0,,,,,,
Nevada,82190,50502,61.4,3,31688.0,38.6,0,,,,,,
New Hampshire,272950,166287,60.9,4,106663.0,39.1,0,,,,,,
New Jersey,2418554,1373613,56.8,16,1015902.0,42.0,0,,,,,,
New Mexico,238608,132170,55.4,4,105661.0,44.3,0,,,,,,
New York,7128239,3952813,55.5,45,3104601.0,43.6,0,,,,,,
North Carolina,1210910,558107,46.1,0,652803.0,53.9,14,,,,,,
North Dakota,270127,191712,71.0,4,76694.0,28.4,0,,,,,,
Ohio,3700758,2100391,56.8,25,1600367.0,43.2,0,,,,,,
Oklahoma,948984,518045,54.6,8,430939.0,45.4,0,,,,,,
Oregon,695059,420815,60.5,6,270579.0,38.9,0,,,,,,
Pennsylvania,4580969,2415789,52.7,32,2146269.0,46.9,0,,,,,,
Rhode Island,414498,210935,50.9,4,203293.0,49.0,0,,,,,,
South Carolina,341087,9793,2.9,0,173004.0,50.7,8,,,,,,
South Dakota,294283,203857,69.3,4,90426.0,30.7,0,,,,,,
Tennessee,892553,446147,50.0,11,443710.0,49.7,0,,,,,,
Texas,2075946,1102878,53.1,24,969228.0,46.7,0,,,,,,
Utah,329554,194190,58.9,4,135364.0,41.1,0,,,,,,
Vermont,153557,109717,71.5,3,43355.0,28.2,0,,,,,,
Virginia,619689,349037,56.3,12,268677.0,43.4,0,,,,,,
Washington,1102708,599107,54.3,9,492845.0,44.7,0,,,,,,
West Virginia,873548,419970,48.1,0,453578.0,51.9,8,,,,,,
Wisconsin,1607370,979744,61.0,12,622175.0,38.7,0,,,,,,
Wyoming,129253,81049,62.7,3,47934.0,37.1,0,,,,,,
Alabama,496861,195694,39.4,0,280844.0,56.5,10*,,,,,,
Arizona,290173,176990,61.0,4,112880.0,38.9,0,,,,,,
Arkansas,406572,186287,45.8,0,213277.0,52.5,8,,,,,,
California,5466355,3027668,55.4,32,2420135.0,44.3,0,,,,,,
Colorado,657074,394479,60.0,6,257997.0,39.3,0,,,,,,
Connecticut,1117121,711837,63.7,8,405079.0,36.3,0,,,,,,
Delaware,177988,98057,55.1,3,79421.0,44.6,0,,,,,,
Florida,1125762,643849,57.2,10,480371.0,42.7,0,,,,,,
Georgia,669655,222778,33.3,0,444688.0,66.4,12,,,,,,
Idaho,272989,166979,61.2,4,105868.0,38.8,0,,,,,,
Illinois,4407407,2623327,59.5,27,1775682.0,40.3,0,,,,,,
Indiana,1974607,1182811,59.9,13,783908.0,39.7,0,,,,,,
Iowa,1234564,729187,59.1,10,501858.0,40.7,0,,,,,,
Kansas,866243,566878,65.4,8,296317.0,34.2,0,,,,,,
Kentucky,1053805,572192,54.3,10,476453.0,45.2,0,,,,,,
Louisiana,617544,329047,53.3,10,243977.0,39.5,0,,,,,,
Maine,351706,249238,70.9,5,102468.0,29.1,0,,,,,,
Maryland,932827,559738,60.0,9,372613.0,39.9,0,,,,,,
